Currency Pair,Start Date,End Date,Duration,Exposure Time %,Final Equity $,Peak Equity $,Return %,Buy & Hold Return %,Annual Return %,Annual Volatility %,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown %,Avg. Drawdown %,Max. Drawdown Duration,Avg. Drawdown Duration,Number of Trades,Win Rate %,Best Trade %,Worst Trade %,Avg. Trade %,Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy $,SQN,Optimal Fast,Optimal Slow,Optimal Signal
AUDUSD=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,98.90516824987925,1891.5523673955029,10000.0,-81.08447632604498,-4.0281338264880935,-76.23792589173189,4.359858623639927,0.0,0.0,0.0,-81.08447632604498,-81.08447632604498,360 days 02:00:00,360 days 02:00:00,639,20.81377151799687,2.960537515092976,-1.7352878712649678,-0.26027883903271265,4 days 03:00:00,0 days 14:00:00,0.2931947677495331,-0.2589664929284341,-13.221257713278883,28,36
EURAUD=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,98.92126871679278,2669.0577610058563,10000.0,-73.30942238994143,-2.8856374080190426,-68.01553637112012,4.029574240908811,0.0,0.0,0.0,-73.40778009645868,-73.40778009645868,360 days 03:00:00,360 days 03:00:00,611,21.76759410801964,2.0147368062673143,-1.125354648970034,-0.21598183246550606,3 days 21:00:00,0 days 15:00:00,0.2672089128800174,-0.21526209111764885,-13.738070288749508,24,34
EURCAD=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,99.17887618740944,2239.287882139542,10076.414060765937,-77.60712117860457,-2.100771788815623,-72.51245414112695,3.1936455288498635,0.0,0.0,0.0,-77.87300076371592,-19.80998337718531,359 days 03:00:00,90 days 04:00:00,617,17.828200972447323,1.4883622023184273,-0.9098800422625453,-0.24227608452437321,3 days 21:00:00,0 days 15:00:00,0.18490982139669895,-0.24178911974239015,-17.93690122244741,28,48
EURCHF=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,99.22705314009661,1733.3095822954351,10010.222986889265,-82.66690417704565,-5.096511798421603,-77.96364903071972,2.529280044715354,0.0,0.0,0.0,-82.7081115605834,-41.506504974721096,360 days 12:00:00,180 days 11:00:00,672,13.541666666666666,1.7468396316594137,-1.9278736977937472,-0.26049315255450844,3 days 22:00:00,0 days 13:00:00,0.1288783974947586,-0.26007301124890564,-20.35760851132534,28,46
EURGBP=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,99.09866409142121,2333.6334778760815,10053.419774703267,-76.66366522123919,0.8552915669808229,-71.51583342756568,3.2616245887271043,0.0,0.0,0.0,-76.7876649918862,-13.041988607050467,358 days 01:00:00,60 days 02:00:00,618,16.019417475728158,2.96578046417888,-1.2245141677147298,-0.23482097513227718,3 days 15:00:00,0 days 15:00:00,0.17562118395967863,-0.2343265366010645,-19.781897900345303,28,48
EURJPY=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,99.08212560386474,2540.7203394166195,10020.175738256838,-74.59279660583381,10.672218724188074,-69.34723733522574,4.31513832779183,0.0,0.0,0.0,-74.6558289930142,-25.158812801537415,358 days 07:00:00,120 days 05:00:00,578,21.79930795847751,2.4374688309133252,-2.3450077824918147,-0.24020072479531418,3 days 19:00:00,0 days 15:00:00,0.2915874221331977,-0.23911958711336123,-11.914540958075941,28,38
EURNZD=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,99.19484702093398,1942.8796231164167,10029.995060335159,-80.57120376883583,-1.1978232531346784,-75.68249248774701,3.0777703584929825,0.0,0.0,0.0,-80.62930628151781,-20.31437137138098,360 days 01:00:00,90 days 05:00:00,659,18.968133535660094,2.912349860536756,-1.3031003056173995,-0.24800189961204921,3 days 16:00:00,0 days 14:00:00,0.20032984043872368,-0.24738333069254073,-16.725614064099886,24,38
GBPCHF=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,99.22692865195684,1880.910643253368,10026.40179926901,-81.19089356746632,-5.87908296049361,-76.35334117937242,3.4440953614856165,0.0,0.0,0.0,-81.28190150730478,-16.523148697925897,358 days 07:00:00,72 days 04:00:00,664,15.963855421686745,4.38858103587747,-1.6491413831926538,-0.2513518180034868,3 days 19:00:00,0 days 14:00:00,0.20375728776778834,-0.2505698045713949,-18.95320236273375,28,42
GBPJPY=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,99.08212560386474,2908.0317193238543,10008.7293765625,-70.91968280676146,9.74783964381075,-65.5587655418894,4.702781733079069,0.0,0.0,0.0,-70.96390081850065,-23.710672636339368,360 days 04:00:00,120 days 05:00:00,580,19.82758620689655,3.121681909180818,-1.7081510268646793,-0.2165270296745736,4 days 04:00:00,0 days 15:00:00,0.3414159115234791,-0.21528685140805967,-11.37327165434345,26,36
GBPUSD=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,99.09808342728297,2662.4371916408286,10001.398028174497,-73.3756280835917,-7.506822350066343,-68.08401703744316,4.49500961241809,0.0,0.0,0.0,-73.63105938011051,-36.93049483187091,360 days 09:00:00,180 days 07:00:00,608,20.888157894736842,4.798656690674319,-1.707906310951024,-0.21744834936097135,4 days 02:00:00,0 days 15:00:00,0.3199428701217084,-0.21625176873302926,-14.419410200514118,24,26
