Currency Pair,Start Date,End Date,Duration,Exposure Time %,Final Equity $,Peak Equity $,Return %,Buy & Hold Return %,Annual Return %,Annual Volatility %,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown %,Avg. Drawdown %,Max. Drawdown Duration,Avg. Drawdown Duration,Number of Trades,Win Rate %,Best Trade %,Worst Trade %,Avg. Trade %,Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy $,SQN,Optimal Fast,Optimal Slow,Optimal Smooth,Optimal Offset
AUDUSD=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,99.67799066172918,9811.010381148819,10296.631704138283,-1.8898961885118117,-4.0281338264880935,-1.3559496224541334,12.175756519579773,0.0,0.0,0.0,-13.091193452350735,-2.871885171935058,113 days 09:00:00,24 days 06:00:00,6,50.0,3.4673252974587787,-3.6941241101801747,-0.3175261693838416,139 days 23:00:00,60 days 17:00:00,0.7948905653658092,-0.28250118430840165,-0.270112388679091,1,2
EURAUD=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,82.8208018032523,9513.383998901087,10092.484163954354,-4.866160010989133,-2.8856374080190426,-4.213824898937268,8.268363133138596,0.0,0.0,0.0,-12.925751987210198,-3.428486380860238,301 days 07:00:00,75 days 12:00:00,7,42.857142857142854,7.06322576369085,-8.67084859577819,-0.7100585843775598,109 days 06:00:00,43 days 04:00:00,0.7196674486822848,-0.598623361659502,-0.3815634439584478,1,2
EURCAD=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,62.59861535984543,10333.708322773173,10333.708322773173,3.3370832277317275,-2.100771788815623,2.8734477162378536,6.221034370929272,0.46189227464574034,0.7483181874222209,0.43478314856347333,-6.608921541075697,-0.8554497840844402,174 days 17:00:00,9 days 21:00:00,3,100.0,1.882153809106346,0.6262400279799296,1.1003141727756072,218 days 16:00:00,75 days 19:00:00,nan,1.1018402116696948,2.8678362296293844,1,2
EURCHF=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,95.31400966183575,9306.826064437439,10071.703616938117,-6.931739355625615,-5.096511798421603,-6.011363085605426,6.577197518709466,0.0,0.0,0.0,-11.771535055798132,-1.8337872395779578,295 days 06:00:00,38 days 12:00:00,8,37.5,0.6562125943005981,-4.827489822551256,-0.8940115405648985,171 days 00:00:00,43 days 08:00:00,0.1615713279147897,-0.8795969452034771,-1.3878577176148443,1,2
EURGBP=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,0.0,10000.0,10000.0,0.0,0.8552915669808229,0.0,0.0,nan,nan,nan,-0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,2
EURJPY=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,82.86634460547504,10624.217770471198,11129.192898645026,6.242177704711976,10.672218724188074,5.364579979085193,10.278299082290477,0.5219326598822535,0.787516288862401,0.7334584001944013,-7.314088948552944,-0.9264020240045912,92 days 14:00:00,7 days 00:00:00,6,50.0,7.438655152675855,-2.325467944612236,1.031514143735457,90 days 22:00:00,50 days 09:00:00,2.2665983782321586,1.0890755448517122,0.6817276015307427,1,2
EURNZD=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,99.69404186795491,9536.435643513872,10324.608114566803,-4.635643564861275,-1.1978232531346784,-3.7974470462747933,8.400984017062797,0.0,0.0,0.0,-10.310796960715496,-0.8131612815932243,301 days 07:00:00,15 days 04:00:00,11,27.27272727272727,9.238511064554311,-4.194452626919842,-0.4306506270778887,101 days 10:00:00,33 days 03:00:00,0.7716252496185886,-0.3659241855459708,-0.3814920972336125,1,2
GBPCHF=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,72.33048800128844,9380.284518861772,10133.741354489328,-6.197154811382279,-5.87908296049361,-5.371482284019102,8.307365435134981,0.0,0.0,0.0,-17.66948520624887,-1.910206741607956,225 days 06:00:00,21 days 22:00:00,1,0.0,-6.197237543545464,-6.197237543545464,-6.197237543545464,262 days 18:00:00,262 days 18:00:00,0.0,-6.197237543545464,nan,1,2
GBPJPY=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,94.44444444444444,10637.2334890625,11085.425871875,6.372334890625006,9.74783964381075,5.475970206121716,11.411793477143188,0.479851849500221,0.7402212047131991,0.47690131666584873,-11.482396912648019,-0.8644499251518883,180 days 14:00:00,8 days 00:00:00,4,50.0,6.418298733638661,-0.6253886769573169,1.5804203932797467,109 days 00:00:00,86 days 03:00:00,9.976621125906487,1.6187073755343895,0.9922696316006607,1,2
GBPUSD=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,85.98808181671767,9452.964595207024,10258.787600777434,-5.470354047929759,-7.506822350066343,-4.739056999976299,10.629959002656864,0.0,0.0,0.0,-22.110378118453433,-2.252939994268195,269 days 15:00:00,26 days 00:00:00,7,71.42857142857143,5.91602687207291,-9.100187873816578,-0.8004678891089023,96 days 17:00:00,44 days 15:00:00,0.6465182531698158,-0.6972425014310739,-0.43884541320520165,1,2
